Material,Product Description,Current Code,Plant,Last Filed
SKU-1010,"In your letter dated May 28, 2024, you requested a tariff classification ruling.  Your samples will be retained by this office.

Item VA0001 is a woman’s dress constructed from 73% polyester, 22% viscose, and 5% spandex woven fabric.  The fully lined sleeveless dress features a round neck collar and a full front opening secured by a side fastener.  The dress extends from the shoulders to the mid-thigh area. The garment also features openings in the side seams and side seam pockets. In your submission, you indicate that these openings are intended to accommodate medical cords and tubes.

Item VA0002 is a woman’s blouse constructed from 45% rayon (modal), 45% polyester, and 10% spandex rib knit fabric that measures at least 10 or more stitches per linear centimeter measured in both directions. The loose-fitting garment extends from the shoulders to below the waist and features a crew neckline, short sleeves, six snaps from the neckline to the sleeve hem, and a straight, self-start bottom.  In your submission, you indicate that the garment is designed for use by women who need to access their PICC lines and ports without having to remove any clothing.

Item VA0003 is a woman’s dress constructed from 100% linen woven fabric.  The fully lined dress features a pointed collar, short sleeves, side seam pockets below the waist, and a partial front opening secured by six button closures.",620443,plant-a,2021-11-02
SKU-1011,"In your letter dated November 3, 2025, you requested a tariff classification ruling on behalf of your client, California Costume, Inc. You submitted a sample of a child size costume identified as Police Officer, item number 00402, which consists of a pullover short-sleeved dress, hat, belt, handcuffs and badges. General Rule of Interpretation 3(b) is applicable when goods are, prima facie, classifiable under two or more headings, and have been put up in sets for retail sale. GRI 3(b) states that the goods “shall be classified as if they consisted of the material or component which gives them their essential character.” The flimsy man-made knitted textile dress provides the essential character of the set and features an open front to the waist, closed with three small tabs of hook and loop fastener. The dress has a bandless, flat collar stitched on with a single row of long, loose straight stitching. The short sleeves and hem bottom have edges folded over once and stitched with a single row of long loose straight stitching. The flimsy half elastic waist consists of a strip of narrow, exposed elastic stitched directly to the back of the dress with one row of large, visible, loose straight stitching. Although the collar has well-made attributes, the dress is not well-made. The dress is stitched together with a single row of long, loose straight stitching. The same costume will als",950590,plant-a,2021-11-02
SKU-1012,"In your letter, dated March 17, 2025, you requested a tariff classification ruling on behalf of your client, Kimberly Clark Global Sales LLC. Samples and a description of the item were submitted for our review. This letter will be given confidential treatment based on the facts you supplied to support your claim for exemption from disclosure. The products under consideration are “Click Compact Tampons.” The tampons come in three levels of absorbency, Regular, Super, and Super Plus, and are packaged together in a “multipak” retail box. The applicators, which are made of plastic, consist of a barrel, a telescopic tube, and a plunger. The tampons have an inner core of textile wadding, which, per your submission, is rayon. This core has a nonwoven overwrap cover of semi-synthetic material. When examined, the inner rayon core meets the definition of “textile wadding,” as defined in the Explanatory Notes to Chapter 56, HTSUS, which state: (A) WADDING OF TEXTILE MATERIALS AND ARTICLES THEREOF The wadding referred to here is made by superimposing several layers of carded or airlaid textile fibres one on the other, and then compressing them in order to increase the cohesion of the fibres… Wadding takes the form of a flexible, spongy, highbulk sheet, of even thickness, the fibres in which are readily separable. It is generally made of cotton fibres (absorbent or other cotton waddings) or",961900,plant-a,2021-11-02
SKU-1013,"This ruling replaces ruling N323031, dated December 15, 2021, which contains a clerical error in the garment description. The durable water repellent is of the type C0, not C6. This ruling is being issued to correct the error. A complete corrected ruling follows.

In your letter dated November 29, 2021, you requested a tariff classification ruling. Per your request, the sample will be returned.

Style 5703130 is a men’s hip-length shirt jacket constructed from a woven 100% polyester double weave fabric coated with a C0 Durable Water Repellent (DWR). The garment features a full front opening with a left-over-right, rubber coated, seven-snap closure; long, vented sleeves with single-snap cuffs; and a rounded hemmed bottom. The garment also contains an invisible zippered chest pocket and invisible zippered pockets below the waist.

In your letter, you state the garment is water resistant; however, you did not provide documentation to support your claim. We have not confirmed the results in our own laboratory, although the CBP officer handling the transaction may choose to do so at the time of importation.

If the jacket passes the water resistant test as specified in Harmonized Tariff Schedule of the United States (HTSUS), Chapter 62, Additional U.S. Note 2, then",620193,plant-a,2021-11-02
SKU-1014,"In your letter dated August 8, 2023, you requested a tariff classification ruling. Product descriptions and photographs of the metal clip with pen holder were provided for our review.

The article under consideration is identified as a metal clip with pen holder. The article is comprised of a metal clip made of brass that is attached to a loop made of polyurethane (PU). The loop is secured to the clip with two brass fasteners. You stated in your letter that “The intended use for this item is to slide the metal clip onto the cover of a date planner, journal or notebook and to use the looped material to hold a writing utensil such as a pen or pencil. The metal clip is not intended to hold any pages together, or to be used as a bookmark…This item will be packaged in a poly bag with a header card when imported into the United States.”

The metal clip with pen holder is comprised of brass and PU components that are classified in different headings.  Classification of merchandise under the Harmonized Tariff Schedule of the United States (HTSUS) is in accordance with the General Rules of Interpretation GRIs), taken in order. GRI 1 provides that classification shall be determined according to the terms of the headings and any relative section or chapter notes. Since no one heading in the tariff schedule covers the brass and PU components that comprise the metal clip with pen holder in ",741999,plant-a,2021-11-02
SKU-1015,"In your letter dated May 7, 2025, you requested a binding tariff classification and country of origin ruling on behalf of Shuanglin Automotive (Thailand) Co. In lieu of samples, technical and illustrative literature, a product description, and manufacturing processes were provided. The item that is the subject of this ruling request is constructed of foreign sourced raw materials. A description of the item immediately follows. The “HDM-Horizontal Driving Mechanism (HDM)” is a seat component constructed of metal and plastic that will be permanently affixed to the metal frame of a motor vehicle seat. Documentation provided states “[T]he HDM work with a motor to drive gears or screw mechanisms, enabling horizontal adjustment of the seat position for optimal legroom and driving posture” and “[L]ow-noise design (e.g., nylon gears or damping materials) ensures smooth and quiet operation.” The assembly contains no upholstery, no cushions, no seat foundation, backrest, legs, or armrests. The assembly will be incorporated into the front driver and front passenger seats of motor vehicles according to Original Equipment Manufacturer (OEM) specifications.",940190,plant-a,2021-11-02
SKU-1016,"In your letter dated February 22, 2022, you requested a tariff classification ruling. Per your request, the sample will be returned.

Style 5709301 is a women’s hip-length jacket constructed from a woven 100% polyester fabric treated with a C6 Durable Water Repellent (DWR), which has been quilted to a polyester batting. The fully lined garment features a full front opening with a right-over-left, rubber coated, six-snap closure; a stand-up collar; long sleeves with stretch binding cuffs; and a curved, hemmed bottom. The garment also has unsecured pockets below the waist and a small, zippered security pocket inside the right pocket.

In your letter, you state the garment is water resistant; however, you did not provide documentation to support your claim. We have not confirmed the results in our own laboratory, although the CBP officer handling the transaction may choose to do so at the time of importation.

If the jacket passes the water resistant test as specified in Harmonized Tariff Schedule of the United States (HTSUS), Chapter 62, Additional U.S. Note 2, then",620213,plant-a,2021-11-02
SKU-1017,"In your letter dated May 18, 2022, you requested a tariff classification ruling.

Style 8408596 “Mesh Half Shirt with O Rings” is a woman’s crop top composed of 100 percent polyester mesh knit fabric. The long-sleeved top reaches from the shoulder to above the bust, and features a mock neck, one metal O ring sewn to the front center, and three metal O rings sewn at the front shoulders. The garment lacks bust coverage and has a hemmed bottom.",611430,plant-a,2021-11-02
SKU-1018,"In your letter, dated May 16, 2023, you requested a binding ruling for tariff classification and country of origin.  The ruling was requested on multilayer wood panels.  Product information and a sample were submitted for our review.

The products under consideration are uncoated, multilayer wood panels.  You state that the panels measure 1220 millimeters wide by 2440 millimeters long and between 4 millimeters to 30 millimeters in thickness.  You indicate that the face and back plies are constructed of Okoumé (a tropical wood) that measures 0.5 millimeters in thickness and the core plies are also constructed of Okoumé that each measure 1.6 to 1.7 millimeters.  The sample you submitted consists of 9 plies and the grain of each layer runs at a 90-degree angle to the successive layers.

The term “plywood” is defined in the Explanatory Notes for heading 4412, Harmonized Tariff Schedule of the United States (HTSUS), as a panel “consisting of three or more sheets of wood glued and pressed one on the other and generally disposed so that the grains of successive layers are at an angle.”  This definition describes the instant panels. Plywood is specifically provided for in heading 4412 of the HTSUS, and the panels are classified in that heading in accordance with General Rule of Interpretation 1.",441231,plant-a,2021-11-02
SKU-1019,"This is in reply to your letter dated March 2, 2026, requesting a tariff classification and country of origin determination for a coated upholstery fabric, which will be imported into the United States from China. FACTS: The subject merchandise, style “Dillion 2.0 TR,” is a twill weave fabric with plastic coating. The coated fabric is composed of 63.4 percent polyurethane coating, 28.9 percent polyester staple fibers and 7.7 percent r ayon staple fibers, by weight. The polyurethane coating consists of one inner cellular layer and an outer layer which is compact. The combined material weighs 470 g/m2. The fabric is being imported in widths of 55 inches and used for upholstery. Based upon our observation, the plastic coating is visible to the naked eye. The manufacturing operations for the coated upholstery fabric are as follows: Vietnam The fabric is woven. The twill weave fabric is shipped to China. China The fabric is dyed and brushed/napped. The fabric is coated with the first layer of polyurethane cellular plastic. An outer layer of “dry” polyurethane (compact plastic) is applied over the cellular coating. The finished fabric is shipped from China to the United States.

ISSUE: What is the classification and country of origin of the subject merchandise? CLASSIFICATION:",590320,plant-a,2021-11-02
